accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
200,64,-2090,-153,111,-13,7,25,-1
199,64,-2085,-152,112,-8,6,22,3
203,57,-2090,-144,110,-14,8,23,0
203,60,-2088,-152,108,-14,6,23,-1
201,64,-2087,-159,111,-15,5,23,2
207,66,-2090,-141,115,-13,8,21,1
202,60,-2090,-150,118,-6,6,21,-2
200,65,-2085,-157,119,-17,8,22,0
201,60,-2084,-148,114,-10,6,21,0
202,63,-2094,-149,107,-7,7,23,0
204,63,-2086,-148,106,-12,5,24,0
204,64,-2094,-152,112,-8,8,21,0
202,61,-2089,-149,113,-13,8,22,-2
201,60,-2085,-155,119,-15,7,21,-1
199,60,-2090,-152,114,-10,6,23,1
205,58,-2100,-160,116,-12,5,21,3
204,57,-2094,-151,111,-21,7,24,0
201,60,-2085,-145,109,-17,9,22,0
199,68,-2088,-151,111,-11,6,21,2
199,58,-2089,-155,111,-7,7,21,0
201,66,-2092,-148,114,-14,6,19,2
198,62,-2093,-144,112,-16,5,24,0
203,64,-2087,-153,107,-17,3,23,1
201,63,-2086,-151,107,-13,8,22,-1
198,61,-2091,-152,110,-16,8,19,1
205,62,-2090,-162,114,-2,7,23,-1
196,64,-2085,-150,116,-18,5,20,0
199,63,-2095,-155,109,-15,8,22,1
200,64,-2089,-154,108,-14,8,23,0
202,59,-2093,-148,108,-12,5,23,1
200,61,-2091,-154,112,-2,6,22,2
202,62,-2084,-144,116,-16,5,23,1
203,68,-2087,-149,109,-7,5,24,0
201,59,-2083,-156,112,-20,4,24,2
201,63,-2097,-150,110,-18,8,22,0
197,62,-2087,-155,113,-15,8,20,1
204,57,-2084,-150,116,-12,6,24,1
198,61,-2094,-152,116,-14,7,21,-2
206,60,-2091,-144,110,-8,5,22,1
200,58,-2096,-153,113,-15,9,22,1
204,62,-2096,-142,112,-4,8,23,2
205,67,-2087,-163,107,-17,8,22,0
204,63,-2089,-150,116,-14,6,21,-1
202,62,-2092,-160,114,-14,6,22,-1
199,59,-2090,-152,118,-12,8,24,-1
200,64,-2090,-153,115,-11,9,22,0
201,65,-2086,-152,114,-20,6,24,1
201,62,-2090,-156,114,-4,7,20,1
204,64,-2090,-149,103,-17,5,23,0
204,60,-2089,-161,117,-11,7,22,1
202,62,-2089,-149,111,-11,7,24,1
203,64,-2098,-145,111,-19,9,20,2
200,62,-2091,-150,116,-14,8,21,1
197,63,-2083,-148,108,-6,8,21,3
203,58,-2088,-147,111,-9,6,22,-2
201,58,-2092,-160,118,-10,7,21,0
199,63,-2085,-147,115,-19,8,21,1
202,62,-2084,-145,121,-15,8,23,2
200,62,-2088,-150,102,-12,8,21,2
202,66,-2086,-155,105,-11,4,25,1
204,60,-2089,-150,114,-8,6,23,2
205,62,-2085,-150,114,-18,6,21,-4
201,58,-2088,-155,115,-19,6,21,0
203,62,-2086,-160,110,-12,7,22,3
199,60,-2086,-155,111,-13,8,23,-2
198,62,-2084,-162,116,-16,8,23,1
200,66,-2092,-148,114,-14,6,23,0
200,63,-2090,-152,114,-8,8,26,-2
203,63,-2089,-143,119,-9,8,21,1
204,62,-2087,-153,115,-13,8,22,0
200,60,-2091,-160,112,-8,8,23,-2
204,63,-2092,-158,122,-10,9,24,-1
199,64,-2087,-154,118,-18,11,21,1
203,63,-2097,-156,108,-8,5,23,1
202,63,-2086,-155,117,-13,6,24,0
202,60,-2090,-154,114,-14,6,23,-1
200,58,-2096,-154,100,-18,4,22,0
200,61,-2086,-148,112,-10,7,22,-2
